   0.034   0.016   0.010   0.010   0.108
   0.396   0.537   0.516   0.496   0.476
   0.455   0.435   0.415   0.395   0.374
   0.354   0.334   0.313   0.293   0.273
   0.253   0.232   0.212   0.192   0.172
   0.151   0.131   0.111   0.090   0.070
   0.050   0.030   0.009   0.000   0.062
   0.174   0.324   0.473   0.623   0.773
   0.922   1.072   1.222   1.371   1.521
   1.671   1.748   0.049   0.048   0.031
   0.013   0.022   0.310   0.536   0.516
   0.495   0.475   0.455   0.435   0.414
   0.394   0.374   0.353   0.333   0.313
   0.293   0.272   0.252   0.232   0.211
   0.191   0.171   0.151   0.130   0.110
   0.090   0.069   0.049   0.029   0.009
   0.018   0.095   0.239   0.389   0.539
   0.688   0.838   0.988   1.137   1.287
   1.437   1.586   1.736   1.855   0.046
   0.047   0.049   0.045   0.029   0.022
   0.103   0.199   0.261   0.216   0.255
   0.242   0.229   0.216   0.203   0.190
   0.177   0.164   0.151   0.138   0.125
   0.112   0.099   0.086   0.073   0.060
   0.047   0.034   0.021   0.008   0.000
   0.001   0.000   0.051   0.155   0.305
   0.454   0.604   0.754   0.903   1.053
   1.203   1.352   1.502   1.652   1.754
   1.963   0.042   0.044   0.045   0.047
   0.041   0.038   0.070   0.141   0.204
   0.240   0.215   0.149   0.068   0.001
   0.002   0.003   0.004   0.005   0.006
   0.007   0.007   0.006   0.006   0.006
   0.005   0.004   0.003   0.003   0.002
   0.001   0.001   0.000   0.004   0.041
   0.904   1.218   0.520   0.669   0.819
   0.969   1.118   1.268   1.418   1.567
   1.717   1.862   2.030   0.038   0.040
   0.042   0.022   0.043   0.089   0.128
   0.118   0.107   0.074   0.013   0.010
   0.017   0.013   0.005   0.008   0.009
   0.008   0.007   0.006   0.006   0.005
   0.004   0.003   0.003   0.002   0.001
   0.000   0.000   0.000   0.000   0.000
   0.008   0.117   0.249   0.949   1.133
   0.865   0.884   1.034   1.184   1.333
   1.483   1.633   1.761   1.970  -0.557
   0.035   0.036   0.038   0.022   0.070
   0.124   0.120   0.102   0.054   0.043
   0.024   0.007   0.002   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.038   0.084   0.195   0.401   0.629
   1.009   0.604   0.554   0.766   0.912
   1.249   1.399   1.548   1.698   1.869
   2.030   2.030   0.031   0.033   0.129
  -0.147  -0.092   0.187   0.137   0.081
   0.035   0.026   0.028   0.013   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.012   0.098   0.237   0.301   0.427
   1.055   1.292   1.166   0.910   0.921
   0.868   0.907   1.085   1.393   1.614
   1.767   1.976   2.030   2.030   0.027
   0.029   0.101  -0.220   0.152   0.182
   0.080   0.044   0.021   0.014   0.029
   0.038   0.023   0.007   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000  -0.012   0.357   0.621   0.524
   0.670   1.217   1.787   1.627   1.421
   1.209   1.036   1.024   1.061   1.175
   1.411   1.647   1.875   2.034   2.030
   2.030   0.024   0.026   0.204   0.203
   0.545   0.233   0.099   0.049   0.012
   0.004   0.018   0.047   0.057   0.060
   0.042   0.012   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000  -0.022   0.031   0.689
   0.741   0.857   1.046   2.003   2.020
   1.672   1.428   1.300   1.240   1.204
   1.197   1.223   1.412   1.765   2.092
   2.140   2.093   2.045   0.020   0.456
   0.234   0.537   0.506   0.183   0.064
   0.020   0.013   0.003   0.016   0.035
   0.056   0.079   0.065   0.044   0.021
   0.009   0.006   0.006   0.004   0.000
   0.000   0.000   0.001   0.005   0.002
   0.535   0.978   1.486   2.011   2.051
   2.538   2.039   1.722   1.472   1.307
   1.336   1.319   1.331   1.336   1.614
   1.874   1.679   1.921   2.162   2.151
   0.017   1.182   0.528   0.305   0.166
   0.101   0.027   0.034   0.036   0.022
   0.012   0.054   0.081   0.101   0.095
   0.020   0.029   0.044   0.040   0.032
   0.019   0.012   0.003   0.000   0.008
   0.107   0.264   0.366   0.593   1.222
   1.971   2.230   2.617   2.198   1.858
   1.511   1.518   1.675   1.863   2.057
   2.094   1.530   1.830   1.161   1.403
   1.645   1.887   1.431   0.640   0.305
   0.147   0.112   0.074   0.064   0.046
   0.037   0.008   0.000   0.022   0.089
   0.061   0.023   0.000   0.000   0.017
   0.055   0.085   0.061   0.041   0.050
   0.061   0.049   0.004   0.208   1.303
   1.465   1.505   1.937   1.960   2.650
   2.033   2.110   1.764   1.907   2.333
   2.651   2.793   2.030   1.400   0.730
   0.643   0.885   1.127   1.369   0.531
   0.017   0.068   0.082   0.068   0.028
   0.000   0.007   0.005   0.000   0.000
   0.038   0.083   0.098   0.015   0.000
   0.000   0.000   0.000   0.016   0.053
   0.114   0.128   0.126   0.087  -0.002
   0.006   0.632   0.941   1.433   2.028
   1.902   2.724   3.322   2.883   2.454
   2.320   2.810   2.695   1.441   1.400
   0.890   0.000   0.125   0.367   0.609
   0.851   0.143   0.001  -0.006   0.001
   0.000   0.000   0.000   0.000   0.000
   0.029   0.057   0.070   0.065   0.029
   0.000   0.000   0.000   0.000   0.000
   0.006   0.102   0.126   0.130   0.195
   0.123   0.061   0.023   0.208   0.461
   1.196   1.920   2.206   2.792   2.868
   2.938   2.713   2.550   2.101   2.710
   1.453   0.768   0.000   0.000   0.000
   0.000   0.091   0.333   0.000  -0.007
  -0.003   0.000   0.000   0.000   0.000
   0.000   0.001   0.028   0.016   0.002
   0.017   0.000   0.000   0.000   0.000
   0.000   0.000   0.033   0.091   0.103
   0.136   0.173   0.176   0.064   0.002
   0.083   0.379   0.896   1.700   1.543
   2.674   2.932   1.837   1.920   1.860
   2.085   2.726   1.072   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.042   0.107   0.118   0.198   0.226
   0.140   0.088   0.102   0.380   0.927
   1.717   1.661   2.648   2.904   1.738
   1.750   1.700   2.174   2.051   0.537
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.005   0.044   0.071   0.113
   0.175   0.067   0.108   0.277   0.120
   0.381   0.957   1.734   1.780   2.622
   2.875   1.640   1.580   1.540   2.263
   1.376   0.002   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.003   0.005   0.001
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.011   0.005   0.007   0.017   0.210
   0.250   0.213   0.416   0.937   1.652
   1.707   2.472   2.444   1.510   1.455
   1.429   1.972   0.701   0.001   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.007
   0.005   0.000   0.000   0.000   0.009
   0.013   0.006   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.001   0.007   0.003
   0.000  -0.003  -0.001   0.305   0.450
   0.916   1.569   1.633   2.322   2.014
   1.380   1.330   1.319   1.680   0.026
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.007   0.010   0.007   0.004
   0.001   0.010   0.016   0.016   0.007
   0.002   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.002   0.007   0.007   0.009   0.052
   0.295   0.454   0.827   1.240   1.354
   1.618   1.657   1.270   1.270   1.259
   1.005   0.013   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.003
   0.006   0.009   0.010   0.009   0.001
   0.002   0.002   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
  -0.001  -0.008  -0.001   0.030   0.070
   0.016   0.096   0.285   0.458   0.738
   0.910   1.075   0.913   1.300   1.160
   1.210   1.199   0.330   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.002   0.005
   0.004   0.000   0.000   0.000   0.000
   0.000   0.001   0.011   0.010   0.004
   0.008   0.004   0.000   0.000   0.000
   0.007   0.017   0.026   0.001   0.279
   0.431   0.604   0.748   0.780   0.817
   0.906   0.655   1.065   0.917   0.165
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.006   0.013   0.019
   0.009   0.005   0.001   0.000   0.000
   0.000   0.002   0.010   0.040   0.024
  -0.001   0.273   0.403   0.469   0.585
   0.484   0.720   0.513   0.149   0.920
   0.635   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.002   0.009
   0.013   0.008   0.000   0.000   0.000
   0.000   0.000   0.000   0.029   0.041
   0.044   0.019   0.005   0.226   0.316
   0.401   0.513   0.467   0.634   0.495
   0.079   0.527   0.320   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
   0.000   0.003   0.005   0.001   0.000
   0.000   0.000   0.000   0.000   0.001
   0.015   0.056   0.056   0.025   0.014
   0.178   0.228   0.332   0.440   0.450
   0.548   0.477   0.008   0.134   0.006
   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000
