   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
  98.884  96.996  95.108 100.536  97.586 100.418 103.368 106.200 109.032 111.864
   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
  98.884  96.996  95.108 100.536  97.586 100.418 103.368 106.200 109.032 111.864
   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
  98.884  96.996  95.108 100.536  97.586 100.418 103.368 106.200 109.032 111.864
   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
  98.884  96.996  95.108 100.536  97.586 100.418 103.368 106.200 109.032 111.864
   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
  98.884  96.996  95.108 100.536  97.586 100.418 103.368 106.200 109.032 111.864
   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
  98.884  96.996  95.108 100.536  97.586 100.418 103.368 106.200 109.032 111.864
   0.118   0.118   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118   0.354   2.360
   4.248   6.254   8.260  10.148  12.154  14.514  16.992  19.588  22.066  24.662
  27.140  29.618  32.214  35.046  48.852  63.838  78.824  93.692 108.678 123.546
 138.532 147.854 141.128 134.402 127.558 120.832 114.106 108.678 105.020 101.244
