   1, 95, 30, 50, 20,-8, 5, 4, 1,-8,-9,-9,-9,-8
   2,100,-88,-88,100,-8,-8,-8, 5,-8,-8,-8, 8,-8
   3,100,-88, 50, 50,-8,-8, 5, 4,-8,-8, 8, 8,-8
   4,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
   5,100,-88, 50, 50,-8,-8, 5, 4,-8,-8, 8, 8,-8
   6,100,-88, 20, 80,-8,-8, 4, 1,-8,-8, 8, 8,-8
   7,100,-88, 30, 70,-8,-8, 5, 4,-8,-8,-9,-9,-8
   8,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
   9, 80,-88, 20, 60,-8,-8, 4, 1,-8,-8,-9,-9,-8
  10, 50,-88,-88, 50,-8,-8,-8, 1,-8,-8,-8,-9,-8
  11,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  12,100,-88, 80, 20,-8,-8, 5, 4,-8,-8,-9,-9,-8
  13, 95,-88, 20, 80,-8,-8, 4, 1,-8,-8,-9,-9,-8
  14,100,-88,-88,100,-8,-8,-8, 5,-8,-8,-8, 8,-8
  15,  0,-88,-88,-88,-8,-8,-8,-8,-8,-8,-8,-8,-8
  16, 50,-88,-88, 50,-8,-8,-8, 1,-8,-8,-8,-9,-8
  17,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  18,  0,-88,-88,-88,-8,-8,-8,-8,-8,-8,-8,-8,-8
  19,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  20,100,-88, 50, 50,-8,-8, 5, 4,-8,-8, 8, 8,-8
  21,100,-88, 50, 50,-8,-8, 5, 4,-8,-8, 8, 8,-8
  22, 95,-88, 30, 70,-8,-8, 5, 4,-8,-8,-9,-9,-8
  23,100,-88, 80, 20,-8,-8, 5, 4,-8,-8, 8, 8,-8
  24, 50,-88, 20, 30,-8,-8, 4, 1,-8,-8,-9,-9,-8
  25, 95,-88, 80, 20,-8,-8, 4, 1,-8,-8,-9,-9,-8
  26,100,-88, 40, 60,-8,-8, 5, 4,-8,-8, 8, 8,-8
  27,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  28,100,-88, 50, 50,-8,-8, 5, 4,-8,-8, 8, 8,-8
  29, 50,-88, 20, 30,-8,-8, 4, 1,-8,-8,-9,-9,-8
  30,100,-88,-88,100,-8,-8,-8, 5,-8,-8,-8, 8,-8
  31, 80,-88, 20, 60,-8,-8, 4, 1,-8,-8,-9,-9,-8
  32,  0,-88,-88,-88,-8,-8,-8,-8,-8,-8,-8,-8,-8
  33, 95,-88, 20, 80,-8,-8, 4, 1,-8,-8,-9,-9,-8
  34, 95,-88, 80, 20,-8,-8, 4, 1,-8,-8,-9,-9,-8
  35,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  36,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  37, 80,-88, 20, 60,-8,-8, 4, 1,-8,-8,-9,-9,-8
  38,100,-88, 50, 50,-8,-8, 4, 1,-8,-8, 8, 8,-8
  39,100,-88, 50, 50,-8,-8, 7, 5,-8,-8, 8, 8,-8
  40, 50,-88, 20, 30,-8,-8, 4, 1,-8,-8,-9,-9,-8
  41, 80,-88, 20, 60,-8,-8, 4, 1,-8,-8,-9,-9,-8
  42,100,-88, 70, 30,-8,-8, 7, 5,-8,-8, 8, 8,-8
  43, 95,-88, 20, 80,-8,-8, 4, 1,-8,-8,-9,-9,-8
  44,100,-88,-88,100,-8,-8,-8, 4,-8,-8,-8, 8,-8
  45,100,-88, 50, 50,-8,-8, 7, 5,-8,-8, 8, 8,-8
  46,100,-88, 50, 50,-8,-8, 7, 5,-8,-8, 8, 8,-8
  47,100,-88, 40, 60,-8,-8, 5, 4,-8,-8, 8, 8,-8
