  78  21  77  20
        -I    5000.0      42.8   10000.0**********   20000.0        .5        .0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  10   3   3  10   0   0
   0   0   0   0  10   9   1   1   8  10   0   0   0   0   0   0   0   0   0   0
   4   0   0   0   0   0   0   0   0   0   0   0   0   0  10   9   1   1   1   1
   0   0  10   3   3   9   1   1   1   1   1   1   8  10   0   0   0   0   0   0
   1   1   1   1   4   0   0   0   0   0   0   0   0   0  10   6   1   1   1   1
   0   0   0   0  10   3   9   1   1   1   1   1   1   1   1   1   4   0   0   0
   1   1   1   1   1   1   7  10   0   0   0   0  10   3   9   1   7   2   6   8
   0   0  10   9   1   1   1   8   3   9   1   1   1   1   1   1   1   4   0   0
   1   7   2   6   1   1   1   1   4   0   0   0   0   0   5   1   1   1   1   1
   0   0   0   0   0   5   1   1   1   1   1   1   1   1   1   1   1   1   1   7
   1   1   1   1   1   1   1   1   1   1   4   0   0   0   0   0   0   5   1   1
   2  10   0   0   0   0   0   0   5   1   1   1   1   1   1   1   1   1   1   8
   1   1   1   1   1   1   1   1   1   1   1   1   8  10   0   0   0   0   0   0
   1   1   1   1   4   0   0   0   0   0  10   9   1   1   1   1   1   1   1   1
  10   9   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   0   0
   1   1   1   1   1   1   1   1   4   0   0   0   5   1   1   1   1   1   1   1
   0   0   0   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   4   0   0   0   5   1   1   1   1
   1   1   4   0   0   0  10   6   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   4   0   0   0   0   0   5
   1   1   1   1   8   3  10   0   0   0  10   6   1   1   1   1   1   1   1   1
   0   0   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   0
   1   1   1   1   1   1   1   1   1   8  10   0   0   0   5   1   1   1   1   1
   1   4   0   0   0   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   8  10   0   0   5   1   1
   1   1   1   1   1   4   0   0   5   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   0   0
   1   1   1   1   1   1   1   1   4   0   0   5   1   1   1   1   1   1   1   1
   0   0   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   4   0   0   5   1   1   1   1   1
   1   7  10   0   0   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   4   0   0   0   0   5   1   1
   1   1   7  10   0   0   0   0   5   1   1   1   1   1   1   1   1   1   1   1
   1   1   1   1   1   1   1   1   1   1   1   1   1   7  10   0   0   0   0   0
   1   1   1   7  10   0   0   0   0   0   0   5   1   1   1   1   1   1   1   1
   0   0   5   1   1   1   1   1   1   1   1   1   1   1   4   0   0   0   0   0
   1   1   1   1   7  10   0   0   0   0   0   0   0   0   0   5   1   1   1   1
   0   0   0   0   0   0   5   1   1   1   1   1   1   1   1   7  10   0   0   0
   1   1   1   1   1   7  10  10   3   3  10   0   0   0   0   0   0   0   5   1
   1   4   0   0   0   0   0   0   0   5   1   1   1   1   1   1   1   4   5   1
   5   1   1   1   1   1   1   1   8   9   1   1   1   4   0   0   0   0   0   0
   1   1   1   1   4   0   0   0   0   0   0   0  10   6   1   1   1   1   1   1
   0   0   0   0   5   1   1   1   1   1   1   1   1   1   1   7  10   0   0   0
   1   1   1   1   1   1   4   0   0   0   0   0   0   0   0   0   5   1   1   1
   0   0   0   0   0   0   0   5   1   1   1   1   1   1   1   1   1   1   4   0
   1   1   1   1   1   1   1   1   1   4   0   0   0   0   0   0   0   0   0   0
  10   0   0   0   0   0   0   0   0   0   0  10   6   1   1   1   1   1   1   1
   0   0   0   5   1   1   1   1   1   1   1   4   0   0   0   0   0   0   0   0
   1   7  10   0   0   0   0   0   0   0   0   0   0   0   0   5   1   1   1   1
   0   0   0   0   0   0   5   1   1   1   1   1   1   4   0   0   0   0   0   0
   1   1   1   1   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0  10
   0   0   0   0   0   0   0   0   0   0   0   5   1   1   7  10   0   0   0   0
   0   0   5   1   1   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  10   6   1   4   0   0
   0   0   0   0   0   0  10   2  10   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0 111 122 133   0   0   0
